food_name,main_category,sub_category,detail_category,base_weight,base_unit,base_kcal,carbs,protein,fat,serving_weight,serving_unit,serving_kcal
국밥_돼지머리,밥류,국밥,돼지머리,100,g,137,15.94,6.7,5.16,900,g,1233.00 
국밥_순대국밥,밥류,국밥,순대국밥,100,g,75,10.38,3.17,2.28,900,g,675.00 
국밥_콩나물,밥류,국밥,콩나물,100,g,52,10.93,1.45,0.24,780,g,405.60 
기장밥,밥류,기장밥,,100,g,166,36.77,3.44,0.57,200,g,332.00 
김밥,밥류,김밥,,100,g,140,19.98,4.84,4.55,230,g,322.00 
김밥_김치,밥류,김밥,김치,100,g,130,19.17,4.3,4.03,270,g,351.00 
김밥_날치알,밥류,김밥,날치알,100,g,177,28.66,6.1,4.26,260,g,460.20 
김밥_돈가스,밥류,김밥,돈가스,100,g,202,31.64,5.77,5.81,320,g,646.40 
김밥_소고기,밥류,김밥,소고기,100,g,179,25.78,6.46,5.56,250,g,447.50 
김밥_참치,밥류,김밥,참치,100,g,174,20.26,7,7.22,250,g,435.00 
김밥_채소,밥류,김밥,채소,100,g,158,26.65,4.6,3.65,280,g,442.40 
김밥_치즈,밥류,김밥,치즈,100,g,177,22.1,6.24,7.03,270,g,477.90 
김밥_풋고추,밥류,김밥,풋고추,100,g,169,27.52,4.88,4.41,290,g,490.10 
덮밥_낙지,밥류,덮밥,낙지,100,g,150,24.12,5.88,3.34,350,g,525.00 
덮밥_닭고기,밥류,덮밥,닭고기,100,g,125,14.82,11.4,2.18,410,g,512.50 
덮밥_돼지고기(제육),밥류,덮밥,돼지고기(제육),100,g,202,16.86,9.43,10.77,470,g,949.40 
덮밥_불고기,밥류,덮밥,불고기,100,g,182,26.96,6.6,5.31,400,g,728.00 
덮밥_오징어,밥류,덮밥,오징어,100,g,135,21.94,7.18,2.01,360,g,486.00 
보리밥,밥류,보리밥,,100,g,161,36.77,2.9,0.24,200,g,322.00 
볶음밥,밥류,볶음밥,,100,g,183,33.97,5.56,2.76,350,g,640.50 
볶음밥_계란,밥류,볶음밥,계란,100,g,225,24.23,6.62,11.28,260,g,585.00 
