food_name,serving_unit,serving_unit_label,serving_weight_g,calories,carbohydrate,protein,fat,is_active
쌀밥,공기,1,210,336,75.3,5.7,0.6,TRUE
기타잡곡밥,인분,1,210,306,61.6,11.1,1.8,TRUE
콩밥,회분,1,100,164,35.5,4.3,0.9,TRUE
보리밥,인분,1,210,337,77.2,6.1,0.5,TRUE
돌솥밥,인분,1,350,643,126.2,12,10,TRUE
현미밥,공기,1,210,357,77.7,7.3,1.8,TRUE
흑미밥,인분,1,210,365,84.1,6.9,0.7,TRUE
감자밥,공기,1,210,282,62.8,5.4,0.5,TRUE
곤드레밥,인분,1,210,360,81,6.8,1.5,TRUE
김치볶음밥,인분,1,330,524,65.6,16.4,21.9,TRUE
주먹밥,개,1,110,207,37.9,5.3,3.4,TRUE
볶음밥,인분,1,350,640,118.9,19.5,9.7,TRUE
일반비빔밥,회분,1,450,653,95.7,24.5,19.4,TRUE
전주비빔밥,인분,1,250,422,73,10,10,TRUE
삼선볶음밥,인분,1,400,686,85.8,26.2,26.5,TRUE
새우볶음밥,인분,1,300,520,76.6,16.2,16.6,TRUE
알밥,인분,1,300,424,67.4,12.5,11.6,TRUE
산채비빔밥,인분,1,300,391,75.9,11.3,3.8,TRUE
오므라이스,인분,1,400,670,91.1,22.6,24.1,TRUE
육회비빔밥,인분,1,300,442,68.8,19.2,10.1,TRUE
해물볶음밥,인분,1,400,705,90.5,25.1,27,TRUE
열무비빔밥,인분,1,300,395,76.8,11.3,3.9,TRUE
불고기덮밥,인분,1,300,474,71.2,18.4,12.8,TRUE
소고기국밥,인분,1,600,282,36.5,18.7,6.9,TRUE
송이덮밥,인분,1,600,581,95.6,18.2,14.1,TRUE
오징어덮밥,인분,1,400,540,86.9,27,9.6,TRUE
자장밥,인분,1,500,741,120.1,15.2,22.3,TRUE
잡채밥,인분,1,230,328,57.8,8.1,7.3,TRUE
잡탕밥,인분,1,400,415,56,23.6,10.8,TRUE
장어덮밥,인분,1,400,716,97.3,30.1,23,TRUE
제육덮밥,인분,1,400,716,79.9,30.9,30.3,TRUE
짬뽕밥,인분,1,800,574,93.2,25.6,11.2,TRUE
순대국밥,인분,1,600,448,62.3,19,13.7,TRUE
카레라이스,인분,1,400,483,91.9,11.6,7.8,TRUE
전주콩나물국밥,인분,1,600,310,65.6,8.7,1.5,TRUE
해물덮밥,인분,1,700,771,100.5,42,22.4,TRUE
회덮밥,인분,1,400,547,82.7,24.1,13.2,TRUE
소머리국밥,인분,1,300,237,6.6,28.5,10.8,TRUE
돼지국밥,인분,1,600,455,37.4,33.2,19.3,TRUE
하이라이스,인분,1,360,401,76.8,14.5,4.1,TRUE
김치김밥,인분,1,270,361,58.7,11.7,8.9,TRUE
농어초밥,개,1,25,39,7.9,1.7,0.1,TRUE
문어초밥,개,1,25,39,8.2,1.5,0.1,TRUE
새우초밥,개,1,25,38,7.8,1.7,0.1,TRUE
새우튀김롤,개,1,30,60,9.6,1.4,1.8,TRUE
샐러드김밥,인분,1,250,405,61.5,9.6,13.5,TRUE
광어초밥,개,1,25,37,6.5,2.3,0.3,TRUE
소고기김밥,인분,1,250,447,64.4,16.2,13.9,TRUE
갈비삼각김밥,개,1,110,177,35.8,4.4,1.9,TRUE
연어롤,개,1,30,51,7.4,1.9,1.5,TRUE
연어초밥,개,1,25,44,7.1,1.9,1,TRUE
유부초밥,개,1,25,45,7.6,1.3,1,TRUE
장어초밥,개,1,25,48,8.1,1.7,1.1,TRUE
참치김밥,개,1,25,43,5.6,1.6,1.5,TRUE
참치마요삼각김밥,개,1,110,189,35.2,4.3,3.5,TRUE
치즈김밥,인분,1,270,476,59.7,16.9,19,TRUE
캘리포니아롤,개,1,30,48,8.9,1.2,0.9,TRUE
한치초밥,개,1,25,37,7.8,1.4,0.1,TRUE
일반김밥,회분,1,275,397,67,12,9,TRUE
간자장,회분,1,500,871,156,31,20,TRUE
굴짬뽕,인분,1,800,603,102.8,29.2,8.5,TRUE
기스면,인분,1,600,363,53.9,22.7,6.4,TRUE
김치라면,인분,1,600,509,79.6,12.7,15.6,TRUE
김치우동,인분,1,600,375,74.4,11.7,3.4,TRUE
김치말이국수,인분,1,600,302,52,12.9,4.8,TRUE
닭칼국수,인분,1,600,442,63.1,28.1,8.5,TRUE
들깨칼국수,인분,1,600,457,59.8,17.6,16.5,TRUE
떡라면,인분,1,550,525,84,11.2,16.1,TRUE
라면,인분,1,550,450,77.9,10.2,13.2,TRUE
막국수,인분,1,500,497,93,19.3,5.5,TRUE
메밀국수,인분,1,350,221,42.2,11,1,TRUE
물냉면,인분,1,600,414,84.6,12,3,TRUE
비빔국수,인분,1,500,538,101.2,16,7.6,TRUE
비빔냉면,인분,1,400,427,71.3,18.5,7.5,TRUE
삼선우동,인분,1,600,414,63.5,28.8,5.1,TRUE
삼선자장면,인분,1,600,688,108.5,28.8,15.5,TRUE
삼선짬뽕,인분,1,800,587,120.6,47,12.8,TRUE
수제비,인분,1,600,348,66.5,13.8,3.1,TRUE
쌀국수,인분,1,600,320,55.1,15.6,4.2,TRUE
열무김치국수,인분,1,600,323,52.2,11.2,7.6,TRUE
오일소스스파게티,인분,1,400,646,89.4,19.6,23.4,TRUE
일식우동,인분,1,600,360,63.6,11.4,6.6,TRUE
